affiliation	count
Voltaire [François Marie Arouet]	353
Jean Le Rond d'Alembert	74
Jean François Marmontel	8
Frederick II	8
king of Prussia	7
Marie Anne de Vichy-Chamrond	5
marquise Du Deffand	5
Charles Palissot de Montenoy	5
marquis de Condorcet	4
Marie Jean Antoine Nicolas de Caritat	4
duc de Choiseul	4
Étienne François de Choiseul-Stainville	4
Paul Claude Moultou	2
Nicolas Claude Thieriot	2
Étienne Noël Damilaville	2
Hugues Maret	1
Bernard Louis Verlac de La Bastide	1
Gabriel Cramer	1
Charles Bonnet	1
margravine of Bayreuth	1
Sophia Friderika Wilhelmina von Preussen	1
landgrave of Hesse-Cassel	1
François Georges Fouques Desfontaines	1
Jean Baptiste Nicolas Formont	1
marquise d'Épinay	1
Louise Florence Pétronille La Live	1
Jean Baptiste de Boyer	1
marquis d'Argens	1
Étienne Maurice Falconet	1
Adrien Michel Hyacinthe Blin de Sainmore	1
Joseph Michel Antoine Servan	1
Jacques Abram Elie Daniel Clavel de Brenles	1
seigneur de Correvon	1
Gabriel de Seigneux	1
André Morellet	1
Heinrich August Ottokar Reichard	1
Étienne Jean de Guimard des Rocheretz	1
baron de Montpéroux	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Jacob Vernet	1
Jean Louis Wagnière	1
François Louis Claude Marin	1
Denis Diderot	1
